id|fecha_relevamiento|practica_deportes|hace_dep_gim_priv|hace_dep_univ|hace_dep_partic|hace_dep_otros|prac_dep_basquet|prac_dep_natacion|prac_dep_futbol|prac_dep_gimnasia|prac_dep_tenis|prac_dep_handball|prac_dep_voley|prac_dep_otros|
4309|21/12/2020|S|N|S|S|N|S|N|S|N|N|N|N|N|
4319|12/04/2013|N|N|N|N|N|N|N|N|N|N|N|N|N|
4332|26/02/2012|S|N|N|N|S|N|N|N|N|N|N|N|N|
4337|15/05/2019|N|N|N|N|N|N|N|N|N|N|N|N|N|
4341|03/03/2013|N|N|N|N|N|N|N|N|N|N|N|N|N|
4358|05/03/2008||||||||||||||
4373|02/02/2010|S|S|S|S|N|N|N|S|N|N|N|N|N|
4381|11/03/2008||||||||||||||
4399|12/03/2008||||||||||||||
4412|29/04/2021|S|N|N|S|N|N|N|N|S|N|N|N|S|
4414|13/03/2008||||||||||||||
4422|07/06/2018|S|S|N|S|S|S|S|N|S|N|N|N|S|
4428|21/02/2022|S|N|N|N|S|N|N|N|N|N|N|N|S|
4477|08/03/2013|S|S|S|S|N|N|N|N|N|N|N|N|S|
4498|07/04/2008|S|N|N|N|N|S|N|N|N|N|N|N|N|
4502|19/04/2012|N|N|N|N|N|N|N|N|N|N|N|N|N|
4530|07/05/2008|N|N|N|N|N|N|N|N|N|N|N|N|N|
4567|09/02/2017|N|N|N|N|N|N|N|N|N|N|N|N|N|
4568|26/02/2009|S|S|N|N|N|N|N|S|N|S|N|N|N|
4583|18/03/2014|S|N|S|N|N|S|N|N|N|N|N|N|N|
4611|20/04/2017|S|N|N|N|N|N|N|S|N|N|N|N|N|
4618|12/03/2009|S|N|N|N|N|N|N|N|N|N|N|N|S|
4629|21/06/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
4637|06/10/2016|S|N|N|S|S|S|N|N|N|N|N|N|S|
4638|19/03/2009|N|N|N|N|N|N|N|N|N|N|N|N|N|
4640|26/10/2017|S|N|N|S|N|S|N|S|N|N|N|N|N|
4656|21/03/2017|S|S|N|N|N|N|N|S|N|N|N|N|S|
4663|21/06/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
4675|16/05/2019|S|N|N|S|N|N|N|S|N|N|N|N|S|
4706|14/03/2011|N|N|N|N|N|N|N|N|N|N|N|N|N|
4710|07/09/2014|N|N|N|N|N|N|N|N|N|N|N|N|N|
4719|07/05/2009|N|N|N|N|N|N|N|N|N|N|N|N|N|
4724|11/03/2010|N|N|N|N|N|N|N|N|N|N|N|N|N|
4728|09/05/2022|S|S|N|N|N|N|N|N|N|N|N|N|S|
4756|21/06/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
4777|30/08/2021|S|S|N|S|N|N|S|N|S|N|N|N|S|
4785|05/03/2019|S|S|N|N|N|N|N|N|N|N|N|N|S|
4786|20/04/2017|S|S|N|N|N|N|N|N|N|N|N|N|S|
4789|23/03/2010|N|N|N|N|N|N|N|N|N|N|N|N|N|
4791|06/03/2016|S|N|S|N|N|N|N|N|N|N|N|N|S|
4805|10/04/2019|S|N|N|N|S|N|N|S|N|N|N|N|N|
4807|13/10/2021|S|S|N|N|N|N|N|N|N|N|N|N|S|
4823|10/06/2019|S|N|S|N|N|N|N|S|N|N|N|N|N|
4839|26/03/2010|N|N|N|N|N|N|N|N|N|N|N|N|N|
4841|26/03/2010|N|N|N|N|N|N|N|N|N|N|N|N|N|
4861|11/02/2015|N|N|N|N|N|N|N|N|N|N|N|N|N|
4864|20/04/2017|N|N|N|N|N|N|N|N|N|N|N|N|N|
4865|10/03/2020|S|N|N|S|N|N|N|N|N|N|N|N|S|
4929|08/04/2010|S|S|S|S|N|N|N|S|N|S|N|N|N|
4935|09/04/2010|N|N|N|N|N|N|N|N|N|N|N|N|N|
4936|02/02/2014|S|S|N|N|N|N|N|N|N|N|N|N|N|
4947|09/04/2010|S|N|S|N|N|N|N|N|N|N|S|N|N|
4990|19/02/2012|N|N|N|N|N|N|N|N|N|N|N|N|N|
5004|17/03/2022|S|S|S|N|S|N|N|S|N|N|N|N|S|
5010|23/04/2010|N|N|N|N|N|N|N|N|N|N|N|N|N|
5013|28/04/2010|N|N|N|N|N|N|N|N|N|N|N|N|N|
5048|11/02/2022|S|S|N|N|N|N|N|N|N|N|N|N|S|
5055|29/03/2011|N|N|N|N|N|N|N|N|N|N|N|N|N|
5059|08/03/2018|S|N|S|N|N|N|N|N|N|N|N|N|S|
5075|05/04/2011|N|N|N|N|N|N|N|N|N|N|N|N|N|
5078|12/10/2017|S|N|N|N|S|N|N|S|N|N|N|N|N|
5080|20/04/2017|S|N|N|S|N|N|N|N|N|N|N|N|N|
5086|05/04/2011|N|N|N|N|N|N|N|N|N|N|N|N|N|
5113|26/03/2020|S|S|N|N|N|N|N|N|N|N|N|N|S|
5134|13/02/2017|S|S|N|N|N|N|N|N|N|N|N|N|S|
5136|22/02/2022|S|N|S|S|N|N|N|N|N|N|N|S|S|
5140|13/04/2011|N|N|N|N|N|N|N|N|N|N|N|N|N|
5141|08/02/2022|S|S|N|N|S|N|N|S|N|N|N|N|S|
5147|30/11/2017|N|N|N|N|N|N|N|N|N|N|N|N|N|
5154|15/02/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
5162|14/04/2011|N|N|N|N|N|N|N|N|N|N|N|N|N|
5172|03/02/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
5186|24/02/2016|S|S|N|N|N|N|N|N|N|N|N|N|S|
5206|26/11/2018|S|N|N|S|N|S|N|N|N|N|N|N|S|
5219|18/05/2011|N|N|N|N|N|N|N|N|N|N|N|N|N|
5229|04/02/2022|S|N|N|S|N|N|N|N|N|N|N|N|S|
5245|21/06/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
5254|30/03/2012|N|N|N|N|N|N|N|N|N|N|N|N|N|
5256|05/10/2021|S|S|N|S|N|N|N|N|S|N|N|N|N|
5263|11/02/2019|S|S|N|N|N|N|N|N|N|N|N|N|N|
5283|02/02/2022|S|S|N|N|N|N|N|S|N|S|N|N|S|
5285|22/02/2015|N|N|N|N|N|N|N|N|N|N|N|N|N|
5292|28/02/2021|S|N|S|N|S|N|N|N|S|S|N|N|N|
5301|02/05/2013|N|N|N|N|N|N|N|N|N|N|N|N|N|
5310|09/03/2022|S|S|N|N|N|N|N|N|N|N|N|N|S|
5330|23/04/2012|N|N|N|N|N|N|N|N|N|N|N|N|N|
5342|20/04/2012|N|N|N|N|N|N|N|N|N|N|N|N|N|
5347|20/04/2012|S|N|N|S|N|N|N|S|N|S|N|N|N|
5353|20/04/2012|N|N|N|N|N|N|N|N|N|N|N|N|N|
5369|05/11/2019|S|N|N|N|S|N|N|N|N|N|N|N|S|
5387|10/02/2017|N|N|N|N|N|N|N|N|N|N|N|N|N|
5413|22/10/2019|S|S|N|N|N|N|N|N|N|N|N|N|S|
5419|14/05/2012|N|N|N|N|N|N|N|N|N|N|N|N|N|
5423|20/08/2013|N|N|N|N|N|N|N|N|N|N|N|N|N|
5428|16/05/2012|N|N|N|N|N|N|N|N|N|N|N|N|N|
5441|18/05/2012|N|N|N|N|N|N|N|N|N|N|N|N|N|
5456|23/05/2012|S|S|N|N|N|N|N|N|S|N|N|N|N|
